coreid,identifiedBy,dateIdentified,identificationQualifier,scientificName,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identificationReferences,identificationRemarks,recordID,modified
1909476,"A. F. Shinn",1963,,"Calliopsis coloradensis","Cresson,1878",Calliopsis,coloradensis,,,,,03c8c439-10ef-4f26-8273-98d6bebe7892,"2023-06-20 14:31:37"
1909477,"A. F. Shinn",s.d.,,"Calliopsis coloradensis","Cresson,1878",Calliopsis,coloradensis,,,,,fe356c59-bc44-4af5-8eb1-0e43d3fcfdc7,"2023-06-20 14:31:37"
1909478,"A. F. Shinn",1957,,"Calliopsis coloradensis","Cresson,1878",Calliopsis,coloradensis,,,,,705c9bb2-8573-4219-8201-45f682c8911c,"2023-06-20 14:31:37"
1909479,"A. F. Shinn",s.d.,,"Calliopsis coloradensis","Cresson,1878",Calliopsis,coloradensis,,,,,0545c0f3-f247-4c5c-810c-956ef4e4d486,"2023-06-20 14:31:37"
1909480,"A. F. Shinn",1963,,"Calliopsis coloradensis","Cresson,1878",Calliopsis,coloradensis,,,,,2a7fdbf0-240d-462b-9374-b53e93a3f1e4,"2023-06-20 14:31:37"
1909481,"A. F. Shinn",1963,,"Calliopsis coloradensis","Cresson,1878",Calliopsis,coloradensis,,,,,762e94be-a65e-483c-9644-eeae3d550c0f,"2023-06-20 14:31:37"
1909482,"P. H. Timberlake",s.d.,,"Calliopsis coloradensis","Cresson,1878",Calliopsis,coloradensis,,,,,77ec289c-f785-4778-b1cb-0e44d907d27b,"2023-06-20 14:31:37"
1909483,"A. F. Shinn",1963,,"Calliopsis coloradensis","Cresson,1878",Calliopsis,coloradensis,,,,,a1c72bab-4886-46c7-8897-f41d57ed651e,"2023-06-20 14:31:37"
1909484,"A. F. Shinn",1963,,"Calliopsis coloradensis","Cresson,1878",Calliopsis,coloradensis,,,,,470298b0-e9a0-4b82-b202-0f5acd7919b9,"2023-06-20 14:31:37"
1909485,"A. F. Shinn",1963,,"Calliopsis coloradensis","Cresson,1878",Calliopsis,coloradensis,,,,,fc3c7dad-337c-4d9d-a101-37a9f0a74f2a,"2023-06-20 14:31:37"
1909486,"A. F. Shinn",1963,,"Calliopsis coloradensis","Cresson,1878",Calliopsis,coloradensis,,,,,1583d12e-75c2-4972-8fe6-1eac5318c1a9,"2023-06-20 14:31:37"
1909487,"A. F. Shinn",1963,,"Calliopsis coloradensis","Cresson,1878",Calliopsis,coloradensis,,,,,b5981ec1-127b-440c-9f4c-27b5cc26c2ca,"2023-06-20 14:31:37"
1909488,"A. F. Shinn",1975,,"Calliopsis coloradensis","Cresson,1878",Calliopsis,coloradensis,,,,,4b4e2836-8f2d-4cea-9a98-a16530105a5f,"2023-06-20 14:31:37"
1909489,"A. F. Shinn",1975,,"Calliopsis coloradensis","Cresson,1878",Calliopsis,coloradensis,,,,,05561a4e-0222-43ef-81f6-f50d6f3e94fd,"2023-06-20 14:31:37"
1909490,"A. F. Shinn",1963,,"Calliopsis coloradensis","Cresson,1878",Calliopsis,coloradensis,,,,,7f7e48fa-8752-44c3-bbdb-8a60d04f3a4d,"2023-06-20 14:31:37"
1909491,"A. F. Shinn",1963,,"Calliopsis coloradensis","Cresson,1878",Calliopsis,coloradensis,,,,,a5da5632-f707-4e8d-98bc-ca02e5e18720,"2023-06-20 14:31:37"
1909492,"A. F. Shinn",1963,,"Calliopsis coloradensis","Cresson,1878",Calliopsis,coloradensis,,,,,2dc192a2-7d37-4b39-af3b-ce26e0727796,"2023-06-20 14:31:37"
1909493,"A. F. Shinn",s.d.,,"Calliopsis coloradensis","Cresson,1878",Calliopsis,coloradensis,,,,,da2cc3cc-1f52-45f2-b674-c5640535c71a,"2023-06-20 14:31:37"
1909494,"A. F. Shinn",s.d.,,"Calliopsis coloradensis","Cresson,1878",Calliopsis,coloradensis,,,,,86acd056-6682-419e-8953-ea0ff3537bfd,"2023-06-20 14:31:37"
1909495,"A. F. Shinn",s.d.,,"Calliopsis coloradensis","Cresson,1878",Calliopsis,coloradensis,,,,,d83e40ee-78ba-46b6-99bb-b87a3bfacb71,"2023-06-20 14:31:37"
1909496,"A. F. Shinn",1963,,"Calliopsis coloradensis","Cresson,1878",Calliopsis,coloradensis,,,,,044dc5e1-9ab7-4de0-b288-96e80eda62cb,"2023-06-20 14:31:37"
1909497,"A. F. Shinn",s.d.,,"Calliopsis coloradensis","Cresson,1878",Calliopsis,coloradensis,,,,,17356fe9-1022-48fc-aef4-6e2715020d74,"2023-06-20 14:31:37"
1909498,"A. F. Shinn",s.d.,,"Calliopsis coloradensis","Cresson,1878",Calliopsis,coloradensis,,,,,deadd715-90f4-4441-9f22-4b62675fa8fd,"2023-06-20 14:31:37"
